timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1489761261952,5008,SOAP/XML-RPC Request,200,OK,PythonDirect 1-48,,true,,31,0,122,122,5008,0,0
1489761261961,5011,SOAP/XML-RPC Request,200,OK,PythonDirect 1-45,,true,,32,0,122,122,5011,0,0
1489761261964,5010,SOAP/XML-RPC Request,200,OK,PythonDirect 1-49,,true,,32,0,122,122,5010,0,0
1489761261968,5009,SOAP/XML-RPC Request,200,OK,PythonDirect 1-50,,true,,32,0,122,122,5009,0,0
1489761261971,5010,SOAP/XML-RPC Request,200,OK,PythonDirect 1-51,,true,,32,0,122,122,5010,0,0
1489761261979,5007,SOAP/XML-RPC Request,200,OK,PythonDirect 1-53,,true,,32,0,122,122,5007,0,0
1489761261976,5011,SOAP/XML-RPC Request,200,OK,PythonDirect 1-52,,true,,32,0,122,122,5009,0,0
1489761262981,5005,SOAP/XML-RPC Request,200,OK,PythonDirect 1-55,,true,,32,0,139,139,5004,0,0
1489761262979,5007,SOAP/XML-RPC Request,200,OK,PythonDirect 1-54,,true,,32,0,139,139,5006,0,0
1489761262983,5009,SOAP/XML-RPC Request,200,OK,PythonDirect 1-57,,true,,32,0,139,139,5009,0,0
1489761262984,5010,SOAP/XML-RPC Request,200,OK,PythonDirect 1-56,,true,,32,0,139,139,5010,0,0
1489761262986,5010,SOAP/XML-RPC Request,200,OK,PythonDirect 1-58,,true,,32,0,139,139,5010,0,0
1489761262988,5009,SOAP/XML-RPC Request,200,OK,PythonDirect 1-59,,true,,32,0,139,139,5009,0,0
1489761262992,5008,SOAP/XML-RPC Request,200,OK,PythonDirect 1-60,,true,,32,0,139,139,5008,0,0
1489761262996,5005,SOAP/XML-RPC Request,200,OK,PythonDirect 1-63,,true,,32,0,139,139,5005,0,0
1489761263000,5007,SOAP/XML-RPC Request,200,OK,PythonDirect 1-61,,true,,32,0,139,139,5007,0,0
1489761263007,5009,SOAP/XML-RPC Request,200,OK,PythonDirect 1-66,,true,,32,0,139,139,5009,0,0
1489761263009,5009,SOAP/XML-RPC Request,200,OK,PythonDirect 1-68,,true,,32,0,139,139,5008,0,0
1489761263001,5017,SOAP/XML-RPC Request,200,OK,PythonDirect 1-65,,true,,32,0,139,139,5017,0,0
1489761263014,5005,SOAP/XML-RPC Request,200,OK,PythonDirect 1-70,,true,,32,0,139,139,5005,0,0
1489761263006,5013,SOAP/XML-RPC Request,200,OK,PythonDirect 1-64,,true,,32,0,139,139,5013,0,0
1489761263004,5017,SOAP/XML-RPC Request,200,OK,PythonDirect 1-62,,true,,32,0,139,139,5017,0,0
1489761263004,5019,SOAP/XML-RPC Request,200,OK,PythonDirect 1-67,,true,,32,0,139,139,5019,0,0
1489761263015,5014,SOAP/XML-RPC Request,200,OK,PythonDirect 1-69,,true,,32,0,139,139,5014,0,0
1489761263861,5007,SOAP/XML-RPC Request,200,OK,PythonDirect 1-1,,true,,32,0,156,156,5007,0,0
1489761264015,5007,SOAP/XML-RPC Request,200,OK,PythonDirect 1-72,,true,,32,0,156,156,5006,0,0
1489761264018,5007,SOAP/XML-RPC Request,200,OK,PythonDirect 1-73,,true,,32,0,156,156,5007,0,0
1489761264029,5007,SOAP/XML-RPC Request,200,OK,PythonDirect 1-76,,true,,32,0,156,156,5007,0,0
1489761264025,5011,SOAP/XML-RPC Request,200,OK,PythonDirect 1-75,,true,,32,0,156,156,5011,0,0
1489761264026,5011,SOAP/XML-RPC Request,200,OK,PythonDirect 1-74,,true,,32,0,156,156,5010,0,0
1489761264033,5007,SOAP/XML-RPC Request,200,OK,PythonDirect 1-77,,true,,32,0,156,156,5007,0,0
1489761264036,5006,SOAP/XML-RPC Request,200,OK,PythonDirect 1-78,,true,,32,0,156,156,5005,0,0
1489761264020,5022,SOAP/XML-RPC Request,200,OK,PythonDirect 1-71,,true,,32,0,156,156,5021,0,0
1489761264038,5008,SOAP/XML-RPC Request,200,OK,PythonDirect 1-79,,true,,32,0,156,156,5007,0,0
1489761264041,5005,SOAP/XML-RPC Request,200,OK,PythonDirect 1-81,,true,,32,0,156,156,5005,0,0
1489761264043,5014,SOAP/XML-RPC Request,200,OK,PythonDirect 1-82,,true,,32,0,156,156,5014,0,0
1489761264047,5016,SOAP/XML-RPC Request,200,OK,PythonDirect 1-80,,true,,32,0,156,156,5016,0,0
1489761264044,5019,SOAP/XML-RPC Request,200,OK,PythonDirect 1-83,,true,,32,0,156,156,5019,0,0
1489761264046,5019,SOAP/XML-RPC Request,200,OK,PythonDirect 1-84,,true,,32,0,156,156,5019,0,0
1489761264056,5018,SOAP/XML-RPC Request,200,OK,PythonDirect 1-85,,true,,32,0,156,156,5017,0,0
1489761264073,5009,SOAP/XML-RPC Request,200,OK,PythonDirect 1-88,,true,,32,0,156,156,5009,0,0
1489761264065,5017,SOAP/XML-RPC Request,200,OK,PythonDirect 1-86,,true,,32,0,156,156,5017,0,0
1489761264075,5009,SOAP/XML-RPC Request,200,OK,PythonDirect 1-87,,true,,32,0,156,156,5009,0,0
1489761264860,5010,SOAP/XML-RPC Request,200,OK,PythonDirect 1-4,,true,,32,0,173,173,5010,0,0
1489761264859,5011,SOAP/XML-RPC Request,200,OK,PythonDirect 1-3,,true,,32,0,173,173,5010,0,0
1489761264865,5020,SOAP/XML-RPC Request,200,OK,PythonDirect 1-5,,true,,32,0,173,173,5020,0,0
1489761264870,5037,SOAP/XML-RPC Request,200,OK,PythonDirect 1-6,,true,,32,0,173,173,5036,0,0
1489761264877,5030,SOAP/XML-RPC Request,200,OK,PythonDirect 1-11,,true,,32,0,173,173,5029,0,0
1489761264872,5035,SOAP/XML-RPC Request,200,OK,PythonDirect 1-8,,true,,32,0,173,173,5035,0,0
1489761264878,5030,SOAP/XML-RPC Request,200,OK,PythonDirect 1-7,,true,,32,0,173,173,5030,0,0
1489761264874,5034,SOAP/XML-RPC Request,200,OK,PythonDirect 1-9,,true,,32,0,173,173,5034,0,0
1489761264874,5043,SOAP/XML-RPC Request,200,OK,PythonDirect 1-2,,true,,32,0,173,173,5033,0,0
1489761264892,5029,SOAP/XML-RPC Request,200,OK,PythonDirect 1-10,,true,,32,0,173,173,5029,0,0
1489761264895,5026,SOAP/XML-RPC Request,200,OK,PythonDirect 1-15,,true,,32,0,173,173,5026,0,0
1489761264897,5027,SOAP/XML-RPC Request,200,OK,PythonDirect 1-16,,true,,32,0,173,173,5027,0,0
1489761264904,5021,SOAP/XML-RPC Request,200,OK,PythonDirect 1-13,,true,,32,0,173,173,5021,0,0
1489761264901,5025,SOAP/XML-RPC Request,200,OK,PythonDirect 1-14,,true,,32,0,173,173,5024,0,0
1489761264904,5022,SOAP/XML-RPC Request,200,OK,PythonDirect 1-12,,true,,32,0,173,173,5022,0,0
1489761265074,5011,SOAP/XML-RPC Request,200,OK,PythonDirect 1-89,,true,,32,0,173,173,5011,0,0
1489761265079,5011,SOAP/XML-RPC Request,200,OK,PythonDirect 1-92,,true,,32,0,173,173,5011,0,0
1489761265081,5010,SOAP/XML-RPC Request,200,OK,PythonDirect 1-93,,true,,32,0,173,173,5010,0,0
1489761265076,5016,SOAP/XML-RPC Request,200,OK,PythonDirect 1-91,,true,,32,0,173,173,5016,0,0
1489761265075,5018,SOAP/XML-RPC Request,200,OK,PythonDirect 1-90,,true,,32,0,173,173,5018,0,0
